price range|price|address|locality|postalCode|beds|bathes|cars|link
650000-700000|SOLD AT FIRST OPEN INSPECTION|41/52-56 John St|Lidcombe|2141|2|2|1|http://www.realestate.com.au/property-apartment-nsw-lidcombe-124221026
600000-650000|Auction On Site Sat 10th Dec 11:30am|3/19 King Street|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-townhouse-nsw-parramatta-124132594
650000-700000|$660,000 - $700,000|17/24-36 Pacific Highway|Wahroonga|2076|2|2|1|http://www.realestate.com.au/property-townhouse-nsw-wahroonga-124062334
450000-500000|$549,000|7/35-43 Toongabbie  Road|Toongabbie|2146|2|2|1|http://www.realestate.com.au/property-unit-nsw-toongabbie-122896686
650000-700000|Auction unless Sold Prior|85/172 Parramatta Road|Homebush|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush-124221302
600000-650000|$650,000 - $690,000|5/13-15 Adah Street|Guildford|2161|3|3|2|http://www.realestate.com.au/property-townhouse-nsw-guildford-123251994
550000-600000|Expression of Interest|17/104-108 Bridge Rd|Westmead|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-westmead-123248378
650000-700000|$688,000||Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-122930078
600000-650000|Range $630,000 to $680,000|14/103 Hammers Road|Northmead|2152|3|1|1|http://www.realestate.com.au/property-villa-nsw-northmead-124182030
300000-350000|Price Guide $385,000 - $410,000|9/14-16 Sherwood Road|Merrylands|2160|2|1|1|http://www.realestate.com.au/property-unit-nsw-merrylands-123854434
550000-600000|$589,000|09/89-93 Wentworth Ave|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-123852050
550000-600000|Contact Agent|175-181 Pitt Street|Merrylands|2160|3|3|2|http://www.realestate.com.au/property-unit-nsw-merrylands-124105978
650000-700000|Contact Agent|609/67-72 River Road|Ermington|2115|2|2|1|http://www.realestate.com.au/property-apartment-nsw-ermington-123126890
500000-550000|SOLD|18/135-137 Pitt Street|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-unit-nsw-merrylands-122898766
550000-600000|$599,000-$619,000|24/69 High St|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-122338850
550000-600000|From$555000 to $599000|211/93 Wentworth Ave|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-122637958
500000-550000|Price Guide $510,000 - $540,000|27/504-516 Church Street|North Parramatta|2151|2|1|1|http://www.realestate.com.au/property-unit-nsw-north+parramatta-124038554
