price range|price|address|locality|postalCode|beds|bathes|cars|link
550000-600000|$575,000|2/32 Galloway Street|North Parramatta|2151|2|1|1|http://www.realestate.com.au/property-unit-nsw-north+parramatta-123759594
550000-600000|Tranquility Plus+|5/24 Bega Street|Pendle Hill|2145|2|1|2|http://www.realestate.com.au/property-villa-nsw-pendle+hill-122432206
650000-700000|Contact Agent|403/8 Parramatta Road|Strathfield|2135|2|2|1|http://www.realestate.com.au/property-apartment-nsw-strathfield-123566210
550000-600000|Price Guide $595,000 - $630,000|1/529 Merrylands Road|Merrylands|2160|3|2|2|http://www.realestate.com.au/property-townhouse-nsw-merrylands-124181798
500000-550000|AUCTION 17/12/2016|4/51B Burwood Road|Concord|2137|2|1|1|http://www.realestate.com.au/property-unit-nsw-concord-124182966
600000-650000|Price guide $590,000 - $640,000|40/24 College Crescent|Hornsby|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-hornsby-124089434
400000-450000|Contact Agent|2 Wentworth Avenue|Toongabbie|2146|2|1|1|http://www.realestate.com.au/property-apartment-nsw-toongabbie-105944555
650000-700000|$729,000|15/9-19 Heath Street|Asquith|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-asquith-123939622
550000-600000|Contact Agent|16/97-99 Stapleton St|Pendle Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pendle+hill-122039486
650000-700000|$695,000|3 Broughton St|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-124064362
500000-550000|"Price Range | $530,000 - $560,000"|58/35-37 Darcy Road|Westmead|2145|2|2|1|http://www.realestate.com.au/property-unit-nsw-westmead-124181070
400000-450000|399950 to 439945|20/26-30 Neil St|Merrylands|2160|2|1|1|http://www.realestate.com.au/property-unit-nsw-merrylands-123630890
550000-600000|$599,950|504/3 Weston Street|Rosehill|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-rosehill-124070974
550000-600000|Under Contract|7/8 Hainsworth Street|Westmead|2145|2|1|1|http://www.realestate.com.au/property-unit-nsw-westmead-123851330
600000-650000|$650,000|302/31-37 Hassall Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-124284394
650000-700000|$680,000|104/8 Junia Avenue|Toongabbie|2146|3|2|1|http://www.realestate.com.au/property-apartment-nsw-toongabbie-124272094
450000-500000|$495,000|5/20-24 Harold Street|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-unit-nsw-parramatta-122553486
550000-600000|Contact Agent|41/120 Driftway Drive|Pemulwuy|2145|3|2|2|http://www.realestate.com.au/property-apartment-nsw-pemulwuy-124272994
550000-600000|$599,000-$629,000|4/45-47 Brickfield Street|North Parramatta|2151|2|2|1|http://www.realestate.com.au/property-unit-nsw-north+parramatta-123986262
650000-700000|Guide $750,000|12/2-4 Purser Avenue|Castle Hill|2154|2|2|1|http://www.realestate.com.au/property-unit-nsw-castle+hill-122588918
650000-700000|680000 - 705000|W707/2-10 Orara Street|Waitara|2077|2|2|1|http://www.realestate.com.au/property-unit-nsw-waitara-123724758
650000-700000|$699,000|G02/81-86 Courallie Ave|Homebush West|2140|3|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-123753762
650000-700000|$700,000|1A Morton St|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-124281906
600000-650000|$629,000|4220/57-59 Queen St|Auburn|2144|3|2|2|http://www.realestate.com.au/property-apartment-nsw-auburn-123638454
650000-700000|$749,950|95/459 Church Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-124039426
650000-700000|Brand New|19-21 Enid Avenue|Granville|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-granville-123379838
550000-600000|FOR SALE $789,000|15 Dawes Avenue|Regents Park|2143|3|1|2|http://www.realestate.com.au/property-house-nsw-regents+park-123785166
500000-550000|$510,000 - $530,000|10/175-181 Pitt Street|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-unit-nsw-merrylands-123195666
550000-600000|Offer above 600K|206/28-30 Burbang Crescent|Rydalmere|2116|2|2|1|http://www.realestate.com.au/property-apartment-nsw-rydalmere-124187186
500000-550000|$559,000|13/10-14 Great Western Hwy|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-unit-nsw-parramatta-120697649
650000-700000|AUCTION ONSITE SATURDAY 17th DECEMBER AT 10.00AM|24 Bradley Avenue|Berala|2141|3|1|2|http://www.realestate.com.au/property-house-nsw-berala-124155798
650000-700000|Contact Agent|A308/235-237 Carlingford Road|Carlingford|2118|2|2|1|http://www.realestate.com.au/property-apartment-nsw-carlingford-124293610
650000-700000|Sales by Negotiation|713C/3 Broughton St.|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-123364774
550000-600000|$630,000 - $660,000|27/15 Young Road|Carlingford|2118|2|2|2|http://www.realestate.com.au/property-apartment-nsw-carlingford-123839566
650000-700000|$720,000 - $740,000|27-29 Tungarra Road|Girraween|2145|3|3|2|http://www.realestate.com.au/property-townhouse-nsw-girraween-122601758
550000-600000|$645,950|10/4-6 Metella Road|Toongabbie|2146|3|1|1|http://www.realestate.com.au/property-villa-nsw-toongabbie-124058642
450000-500000|Price Guide $520,000 - $540,000|4/28 Brickworks Drive|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-apartment-nsw-merrylands-123924094
550000-600000|$638,000 - $698,000|5-7 Northumberland Road|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-120197849
500000-550000|OFFERS INVITED OVER 610K|Villa 5/4-6 Metella Road|Toongabbie|2146|2|1|1|http://www.realestate.com.au/property-villa-nsw-toongabbie-120753101
600000-650000|0||||0|0|0|http://www.realestate.com.au/project-sovereign-nsw-asquith-600013798?numBeds=2
650000-700000|$651,000|55/32-34 Marian St|Guildford|2161|3|2|2|http://www.realestate.com.au/property-apartment-nsw-guildford-123819290
600000-650000|From $625,000|4-6 Burbang Crescent|Rydalmere|2116|2|2|1|http://www.realestate.com.au/property-apartment-nsw-rydalmere-123539534
650000-700000|$695,000 - $745,000|3/9-11 Weston Street|Rosehill|2142|3|2|2|http://www.realestate.com.au/property-unit-nsw-rosehill-124054894
400000-450000|$429,000 - $449,000|10/59 St Ann St|Merrylands|2160|2|1|1|http://www.realestate.com.au/property-unit-nsw-merrylands-124236234
650000-700000|$749950|12/1 Sandpiper Crescent|Newington|2127|2|2|1|http://www.realestate.com.au/property-apartment-nsw-newington-124119814
600000-650000|Range $595,000 - $630,000|11/88 James Rouse Drive|Rosehill|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-rosehill-124183538
550000-600000|2 bed from $590k. CONSTRUCTION COMMENCED!|1-3 WEROMBI Rd|Mount Colah|2079|2|2|1|http://www.realestate.com.au/property-apartment-nsw-mount+colah-121042274
600000-650000|0||||0|0|0|http://www.realestate.com.au/project-lincoln+rise-nsw-kellyville-600014394?numBeds=2
650000-700000|AUCTION|50 Wentworth Parade|Yennora|2161|3|1|2|http://www.realestate.com.au/property-house-nsw-yennora-123981302
650000-700000|Contact Alex Lee 0412 238 082|10/40-42 Keeler Street|Carlingford|2118|2|2|1|http://www.realestate.com.au/property-apartment-nsw-carlingford-122930426
600000-650000|Auction On Site Saturday 10th December at 1pm|19/44 Khartoum Road|Macquarie Park|2113|2|1|2|http://www.realestate.com.au/property-unit-nsw-macquarie+park-124149410
550000-600000|The best investment property for sale|6-14 Park Road|Auburn|2144|2|2|1|http://www.realestate.com.au/property-unit-nsw-auburn-122745646
650000-700000|Contact Agent|301/131-133 Jersey Street|Asquith|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-asquith-122863158
650000-700000|STAGE 1 SOLD OUT|23-25 John Street|Lidcombe|2141|2|2|2|http://www.realestate.com.au/property-apartment-nsw-lidcombe-121459138
600000-650000|$640,000|102/81-86  Courallie Ave|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-124011682
350000-400000|$370,000 to    $380,000 neg|40a/269 New Line Rd|Dural|2158|2|1|1|http://www.realestate.com.au/property-other-nsw-dural-123447810
450000-500000|Auction|9/31 Harris Street|Harris Park|2150|2|1|1|http://www.realestate.com.au/property-unit-nsw-harris+park-124259358
550000-600000|DEPOSIT TAKEN!|39/8 Marlborough Road|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-123863306
550000-600000|Contact Agent|7/97-99 Stapleton St|Pendle Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pendle+hill-122039434
350000-400000|Offers Start at $660k|66/68 Oxford Street|Epping|2121|2|1|1|http://www.realestate.com.au/property-apartment-nsw-epping-124240638
650000-700000|Offers Invited|89/459-463 Church Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-123566626
550000-600000|$568,000|18-20 Louis|Granville|2142|2|1|1|http://www.realestate.com.au/property-apartment-nsw-granville-123967350
500000-550000|Price Guide $520,000-$560,000|7/174-176 Bridge Road|Westmead|2145|2|2|1|http://www.realestate.com.au/property-unit-nsw-westmead-123304242
650000-700000|Offers Invited|406/30-34 Keeler Street|Carlingford|2118|2|2|1|http://www.realestate.com.au/property-apartment-nsw-carlingford-122697718
600000-650000|Contact Agent|25/278-282 Railway Terrace|Guildford|2161|2|2|1|http://www.realestate.com.au/property-apartment-nsw-guildford-124154930
600000-650000|$650,000||Kellyville|2155|2|2|1|http://www.realestate.com.au/property-apartment-nsw-kellyville-122647762
550000-600000|0||||0|0|0|http://www.realestate.com.au/project-park+one-nsw-macquarie+park-600013422?numBeds=2
550000-600000|$585,000-$625,000|8/37 Meadow Crescent|Meadowbank|2114|2|1|1|http://www.realestate.com.au/property-unit-nsw-meadowbank-124084390
600000-650000|Under Contract|5/6 Raymond Lane|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-unit-nsw-parramatta-123029714
450000-500000|$490,000 - $539,000|2/22 Pennant Hills Road|North Parramatta|2151|2|1|1|http://www.realestate.com.au/property-unit-nsw-north+parramatta-124046890
650000-700000|$689,000|02/89-93 Wentworth Ave|Wentworthville|2145|3|2|2|http://www.realestate.com.au/property-apartment-nsw-wentworthville-123724714
650000-700000|Price Guide $690,000 - $730,000|86/459 Church Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-123011166
550000-600000|From $595,000||Epping|2121|2|2|1|http://www.realestate.com.au/property-apartment-nsw-epping-123629990
550000-600000|Contact Agent|373 Great Western Highway|South Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-south+wentworthville-122046278
650000-700000|Guide $695,000 - $730000|48-50 Lords Avenue|Asquith|2077|2|2|1|http://www.realestate.com.au/property-unit-nsw-asquith-119174099
650000-700000|$699,000|A301/40-44 Edgeworth David Ave|Waitara|2077|2|1|1|http://www.realestate.com.au/property-apartment-nsw-waitara-122642590
650000-700000|Price Guide $660,000 - $690,000|314/78 Marlborough Road|Homebush West|2140|3|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-123077342
550000-600000|$600,000 - $630,000|4/1-3 Lloyds Av|Carlingford|2118|2|1|1|http://www.realestate.com.au/property-unit-nsw-carlingford-124203702
650000-700000|Price $700,000|328/23 Savona Drive|Wentworth Point|2127|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworth+point-124196882
550000-600000|Contact Agent|17/97-99 Stapleton St|Pendle Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pendle+hill-122039490
350000-400000|$440,000 - $480,000|5/24 Clyde Street|Granville|2142|2|1|2|http://www.realestate.com.au/property-apartment-nsw-granville-122057294
450000-500000|$499,950-$539,950|25/2-6 Howard Avenue|Northmead|2152|2|1|1|http://www.realestate.com.au/property-apartment-nsw-northmead-124182778
600000-650000|UNDER CONTRACT|1/62 Adler Parade|Greystanes|2145|3|1|1|http://www.realestate.com.au/property-townhouse-nsw-greystanes-123607346
650000-700000|$750,000||Ermington|2115|2|2|1|http://www.realestate.com.au/property-unit-nsw-ermington-124054602
650000-700000|Price Guide $690,000 - $730,000|5 Malouf Street|Guildford|2161|3|1|1|http://www.realestate.com.au/property-house-nsw-guildford-124085022
600000-650000|$649,900|4/32 Station Rd|Auburn|2144|3|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-121344314
550000-600000|$598,000|29/11-15 Peggy Street|Mays Hill|2145|2|2|1|http://www.realestate.com.au/property-unit-nsw-mays+hill-123669554
600000-650000|$630,000 - $670,000|1 Edna Avenue|Toongabbie|2146|3|1|1|http://www.realestate.com.au/property-house-nsw-toongabbie-124183126
550000-600000|Contact Agent|3/97-99 Stapleton St|Pendle Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pendle+hill-122039378
450000-500000|Contact Agent||Pendle Hill|2145|2|1|1|http://www.realestate.com.au/property-apartment-nsw-pendle+hill-123971334
500000-550000|$509,950|2/49 Ross Street|North Parramatta|2151|2|1|1|http://www.realestate.com.au/property-apartment-nsw-north+parramatta-123971266
400000-450000|PRICE RANGE $400,000-$420,000|2/5 Hevington Road|Auburn|2144|2|1|1|http://www.realestate.com.au/property-apartment-nsw-auburn-123552138
600000-650000|$650,000|5/1 Early Street|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-unit-nsw-parramatta-122737738
600000-650000|CONTACT AGENT|101-103 Church Street|Ryde|2112|2|2|1|http://www.realestate.com.au/property-apartment-nsw-ryde-123251822
650000-700000|REDUCED TO SELL FROM $695,000|2 Good St|Westmead|2145|3|2|2|http://www.realestate.com.au/property-apartment-nsw-westmead-122592310
450000-500000|$494,000||Auburn|2144|2|1|1|http://www.realestate.com.au/property-unit-nsw-auburn-121386418
500000-550000|$549,950-$569,950|29/100 Kenyons Road|Merrylands West|2160|3|2|2|http://www.realestate.com.au/property-townhouse-nsw-merrylands+west-124234150
650000-700000|$675,000 (2 bedroom apartment)|202/21 Hezlett Road|Kellyville|2155|2|2|1|http://www.realestate.com.au/property-apartment-nsw-kellyville-124210242
550000-600000|RETRO-MODERN RESIDENCES, OFF THE PLAN|52 Burwood Road|Burwood|2134|2|2|1|http://www.realestate.com.au/property-unit-nsw-burwood-122971002
600000-650000|$639,000-$669,000|14/162 William Street|Granville|2142|3|2|2|http://www.realestate.com.au/property-townhouse-nsw-granville-124226490
600000-650000|Contact l Jay Bacani and Manor Team|77/13-19 Seven Hills Road|Baulkham Hills|2153|2|2|2|http://www.realestate.com.au/property-apartment-nsw-baulkham+hills-123506614
400000-450000|$425,000|3/26 Dartbrook Rd|Auburn|2144|2|1|1|http://www.realestate.com.au/property-flat-nsw-auburn-120633545
650000-700000|Auction Saturday 17th December|1/22 Eastern Road|Turramurra|2074|2|1|1|http://www.realestate.com.au/property-apartment-nsw-turramurra-124212790
600000-650000|Price Guide $650,000 - $715,000|3 & 4/18 Richardson Street|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-house-nsw-merrylands-122336006
600000-650000|Just Listed|Unit 54/34 Albert Street|North Parramatta|2151|2|2|1|http://www.realestate.com.au/property-unit-nsw-north+parramatta-123877466
450000-500000|$499,000|4/7-11 Kitchener Ave|Regents Park|2143|2|2|1|http://www.realestate.com.au/property-unit-nsw-regents+park-123846398
500000-550000|$533,000|53/32-34 Marian St|Guildford|2161|2|1|1|http://www.realestate.com.au/property-apartment-nsw-guildford-123819194
450000-500000|JUST LISTED|7/548-556 Woodville Road|Guildford|2161|3|2|2|http://www.realestate.com.au/property-apartment-nsw-guildford-123884286
550000-600000|$595,000|170 The Trongate|Granville|2142|2|1|2|http://www.realestate.com.au/property-villa-nsw-granville-123508402
500000-550000|Get $20,000 Cashback, or Developer Pays Stamp Duty|29/6 Centenary Road|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-apartment-nsw-merrylands-122844954
500000-550000|590,000 - 630,000|6/7 Central ave|Westmead|2145|3|2|2|http://www.realestate.com.au/property-unit-nsw-westmead-123949702
500000-550000|$550,000 -$575,000|1/61-63 Stapleton St|Pendle Hill|2145|2|2|1|http://www.realestate.com.au/property-unit-nsw-pendle+hill-123973426
650000-700000|Expressions of Interest|2507/29 Hunter Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-124238510
550000-600000|Contact Agent|4/97-99 Stapleton St|Pendle Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pendle+hill-122039402
650000-700000|STAGE 1 SOLD OUT|23-25 John Street|Lidcombe|2141|2|2|1|http://www.realestate.com.au/property-apartment-nsw-lidcombe-121322862
400000-450000|All Offers Will Be Considered|86-88 Railway Terrace|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-apartment-nsw-merrylands-123443882
650000-700000|Contact Agent|3/17 Kirkham Street|Auburn|2144|3|3|2|http://www.realestate.com.au/property-townhouse-nsw-auburn-123525710
550000-600000|Price guide $595,000-$630,000|59/14-18 College Crescent|Hornsby|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-hornsby-123686650
650000-700000|$670,000 to $680,000|16-18 Bouvardia Street|Asquith|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-asquith-118575359
600000-650000|Contact Agent|22-26 Essex Street|Epping|2121|2|2|1|http://www.realestate.com.au/property-apartment-nsw-epping-124024446
350000-400000|469000|16/84 Pitt Street|Granville|2142|2|1|1|http://www.realestate.com.au/property-apartment-nsw-granville-123518534
650000-700000|SOLD|Unit 17/7 Aird Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-unit-nsw-parramatta-119082379
550000-600000|Contact Agent|1/8 Wigram  Street|Harris Park|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-harris+park-123271546
650000-700000|JUST LISTED|63/61 Macquarie Drive|Cherrybrook|2126|2|2|1|http://www.realestate.com.au/property-retirement+living-nsw-cherrybrook-124221654
450000-500000|FOR SALE|6-14 Park Road|Auburn|2144|2|2|2|http://www.realestate.com.au/property-apartment-nsw-auburn-123093134
600000-650000|Price Guide $630,000 - $670,000|47/47 Wentworth Avenue|Westmead|2145|3|2|1|http://www.realestate.com.au/property-townhouse-nsw-westmead-124106774
600000-650000|"Asking $675,000 | Urgent Sale"|303/64-72 River Road|Ermington|2115|2|1|2|http://www.realestate.com.au/property-unit-nsw-ermington-124149950
550000-600000|Contact Agent|12/29-33 Darcy Road|Westmead|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-westmead-123192534
550000-600000|$649,950|111/13-15 Hassall Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-124182826
450000-500000|$479,950|91 Stapleton Street|Pendle Hill|2145|2|1|1|http://www.realestate.com.au/property-apartment-nsw-pendle+hill-123803530
600000-650000|Contact Agent|133 - 149 Samantha Riley Drive|Kellyville|2155|2|2|1|http://www.realestate.com.au/property-apartment-nsw-kellyville-121634830
550000-600000|$595,000 -$640,000|61 - 71 Queen Street|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-118720939
550000-600000|CONTACT AGENT|98-100 Railway Terrace|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-unit-nsw-merrylands-123256562
300000-350000|Price Guide $370,000 - $405,000|9/466-468 Guildford Road|Guildford|2161|2|1|1|http://www.realestate.com.au/property-unit-nsw-guildford-124234102
650000-700000|$680,000 to $720,000|68/54-62 Nijong Drive|Pemulwuy|2145|3|2|2|http://www.realestate.com.au/property-apartment-nsw-pemulwuy-124094086
500000-550000|Contact Agent|G07/120 James Ruse Dr|Rosehill|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-rosehill-123776518
600000-650000|$650,000-$700,000|17/31 Cross Street|Guildford|2161|2|2|1|http://www.realestate.com.au/property-unit-nsw-guildford-121036334
550000-600000|$600,000 - $650,000|6/60-62 Beaconsfield Street|Silverwater|2128|2|2|1|http://www.realestate.com.au/property-townhouse-nsw-silverwater-123956002
400000-450000|Expressions Of Interest|7/2 Bellevue Street|North Parramatta|2151|2|1|1|http://www.realestate.com.au/property-unit-nsw-north+parramatta-123995366
650000-700000|UNDER CONTRACT|1/97-99 Arthur Street|Homebush West|2140|3|2|2|http://www.realestate.com.au/property-apartment-nsw-homebush+west-122020766
450000-500000|$499,000-$550,000|1/20 Pennant Hills Road|North Parramatta|2151|2|1|1|http://www.realestate.com.au/property-unit-nsw-north+parramatta-123251970
650000-700000|Price Guide $670,000|2/9 Magnolia Street|Greystanes|2145|3|2|2|http://www.realestate.com.au/property-townhouse-nsw-greystanes-123811538
550000-600000|$558,000||Mays Hill|2145|2|2|1|http://www.realestate.com.au/property-unit-nsw-mays+hill-124193550
500000-550000|$549,000|14/8-10 Northumberland Rd|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-123078894
550000-600000|Contact Agent||Granville|2142|4|2|2|http://www.realestate.com.au/property-townhouse-nsw-granville-122417014
450000-500000|$520,000 - $550,000|1/23 Good Street|Westmead|2145|2|1|1|http://www.realestate.com.au/property-unit-nsw-westmead-123992050
650000-700000|$745,000|80b Moxhams Road|Winston Hills|2153|3|1|7|http://www.realestate.com.au/property-house-nsw-winston+hills-123998834
600000-650000|Price Guide $630,000|C110/81-86 Courallie Avenue|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-124167950
600000-650000|Contact Agent|31-35 LOUIS STREET|Granville|2142|2|2|1|http://www.realestate.com.au/property-townhouse-nsw-granville-124252014
500000-550000|Deposit Taken|48/9 Marion Street|Auburn|2144|3|2|2|http://www.realestate.com.au/property-apartment-nsw-auburn-123920462
550000-600000|$599,000|23/27-29 Mary St|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-124263982
500000-550000|Price Guide $540,000 - $570,000|33/13-17 Victoria Road|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-unit-nsw-parramatta-122748134
550000-600000|$620,000 - $640,000|56/2-8 Wayman Place|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-unit-nsw-merrylands-124083658
350000-400000|Contact Agent|25/14-16 Lamont Street|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-124105142
550000-600000|$640,000|21/6-8 College Crescent|Hornsby|2077|2|2|1|http://www.realestate.com.au/property-unit-nsw-hornsby-123725050
500000-550000|$538,000||Guildford|2161|2|2|1|http://www.realestate.com.au/property-apartment-nsw-guildford-122006710
600000-650000|$680,000 - $720,000|5/140 Dunmore Street|Wentworthville|2145|2|1|2|http://www.realestate.com.au/property-unit-nsw-wentworthville-124290114
350000-400000|Contact Agent|Lot116 Oxlade Street|Kellyville|2155|4|3|1|http://www.realestate.com.au/property-house-nsw-kellyville-124238566
550000-600000|$570,000|205/89-93 Wentworth Ave|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-123978290
650000-700000|For Sale|5/6 Massey Street|Gladesville|2111|2|1|1|http://www.realestate.com.au/property-unit-nsw-gladesville-123696470
600000-650000|$675,000|10/66-68 Park Road|Rydalmere|2116|2|2|1|http://www.realestate.com.au/property-apartment-nsw-rydalmere-123958502
650000-700000|$699,000 Only|19-21 lavinia Street|Granville|2142|3|2|2|http://www.realestate.com.au/property-townhouse-nsw-granville-122392210
650000-700000|$750,000|55 Tungarra Rd|Girraween|2145|4|2|2|http://www.realestate.com.au/property-townhouse-nsw-girraween-120716893
450000-500000|Price Guide $500,000 - $530,000|6/25 Dressler Court|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-unit-nsw-merrylands-124256022
600000-650000|AUCTION Contact Agent|1/1292 Pacific Highway|Turramurra|2074|2|1|1|http://www.realestate.com.au/property-unit-nsw-turramurra-124156750
450000-500000|Urgent Sale: $509,000|3203/57 Queen St|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-122151134
650000-700000|$690,000|40-44 Edgeworth david Ave|Waitara|2077|2|1|1|http://www.realestate.com.au/property-apartment-nsw-waitara-124097394
500000-550000|Contact Agent|1-27/104-108 Bridge Road|Westmead|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-westmead-124129146
600000-650000|Contact Agent|102/81-86 Courallie Ave|Homebush West|2140|3|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-120334541
650000-700000|Urgent Sale:$708,000|10/71  Dudley St|Berala|2141|3|2|2|http://www.realestate.com.au/property-townhouse-nsw-berala-123785766
500000-550000|Deposit Taken|4/55-57 Marsden Street|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-124001574
450000-500000|Offer's Above $455,000|6/10-14 Calliope Street|Guildford|2161|2|2|1|http://www.realestate.com.au/property-unit-nsw-guildford-120152381
400000-450000|$469,000|8 /10 The Crescent|Berala|2141|2|1|1|http://www.realestate.com.au/property-apartment-nsw-berala-124235894
650000-700000|Contact Agent|48  Bundarra Street|Ermington|2115|2|2|1|http://www.realestate.com.au/property-apartment-nsw-ermington-123815554
600000-650000|Auction|33/6 Centenary Road|Merrylands|2160|3|2|1|http://www.realestate.com.au/property-apartment-nsw-merrylands-122884010
650000-700000|Under Contract|42/127 Park Road|Rydalmere|2116|3|2|1|http://www.realestate.com.au/property-townhouse-nsw-rydalmere-123522142
550000-600000|$575,000|Unit 1/8-10 Octavia Street|Toongabbie|2146|2|2|1|http://www.realestate.com.au/property-apartment-nsw-toongabbie-123876074
550000-600000|Contact Agent|81 Courallie Avenue|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-122879926
450000-500000|$499,000-$515,000|2/47 HARRIS STREET|Harris Park|2150|2|1|1|http://www.realestate.com.au/property-unit-nsw-harris+park-123744926
550000-600000|For Sale|11/20-26 Marlborough Road|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-124213878
450000-500000|$539,000|1203/57-59 Queen St|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-124175106
550000-600000|$719,000|20 /548 Cnr Liverpool Rd & Bede St|Strathfield South|2136|2|2|1|http://www.realestate.com.au/property-unit-nsw-strathfield+south-121049050
650000-700000|Contact Agent|113/89-93 Wentworth Ave|Wentworthville|2145|3|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-123608958
500000-550000|EXPRESSIONS OF INTEREST|25/41-43 Veron Street|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-124279526
550000-600000|From $595,000|6/278-282 Railway Terrace|Guildford|2161|2|1|1|http://www.realestate.com.au/property-apartment-nsw-guildford-124102766
600000-650000|$600,000 - $650,000|Unit 17/49-53 Wentworth Avenue|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-121904014
550000-600000|For Sale $615,000 As New|22/8-12 Marlborough Road|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-123705686
550000-600000|Contact Agent||Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-122137274
550000-600000|Contact Agent|19/208-214 Parramatta Road|Homebush|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush-124025074
550000-600000|$580,000 - $629,000|147 Parramatta Road|Granville|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-granville-123988554
550000-600000|$585,000|4 & 5/86-88 Railway Terrace|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-apartment-nsw-merrylands-123909402
650000-700000|Sales by negotiation|B205/35-39 Balmoral Street|Waitara|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-waitara-124128358?listingType=buy
600000-650000|Contact Agent|29-31 Cliff Road|Epping|2121|3|2|2|http://www.realestate.com.au/property-apartment-nsw-epping-123394974
